12447.57,-6478.66     12737.41,-6634.72
12737.41,-6634.72     13291.14,-6651.04
13291.14,-6651.04     13328.46,-9547.01
13325.34,-9455.07     13481.44,-9447.27
13478.12,-9543.87     13471.07,-6837.53
13321.73,-8975.8     13478.88,-8974.83
5848.98,-6482.77     5801.82,-6805.92
5574.36,-8633.53     12201.54,-8525.77
6027.32,-8620.93     6066.32,-9170.74
6066.32,-9170.74     12655.81,-9060.97
12695.81,-9010.54     12737.41,-6634.72
6506.43,-9612.57     13478.07,-9543.88
10241.73,-8063.99     11707.93,-8067.46
11707.93,-8067.46     11704.45,-8070.94
11704.45,-8070.94     11700.98,-8296.64
11700.98,-8296.64     10234.78,-8289.7
10234.78,-8289.7     10238.26,-8063.99
12447.57,-6478.66     5858.43,-6478.66
5574.36,-8633.53     5574.46,-8178.01
5574.46,-8178.01     5801.82,-6805.92
13291.14,-6651.04     13471.07,-6837.53
12737.41,-6634.72     12201.54,-8525.77
12447.57,-6478.66     12121.46,-7496.01
12121.46,-7496.01     12201.54,-8525.77
12655.81,-9060.97     12695.81,-9010.54
6506.43,-9612.57     6066.32,-9170.74
6555.37,-9162.59     6980.51,-9607.9
12695.81,-9010.54     12968.46,-9267.01
12968.46,-9267.01     13327.27,-9454.97
12655.81,-9060.97     12983.46,-9372.01
12983.46,-9372.01     13328.44,-9545.36
13177.82,-6647.7     13266.22,-9422.99
11671.89,-9083.35     12124.79,-9557.22
