6899.77,-5680.94     6899.77,-5629.87
6909.86,-5686.76     6909.86,-6898.38
6909.86,-5688.03     6909.87,-5687.89
6926.82,-7667.53     6926.82,-7700.59
6936.36,-7673.04     6936.36,-7706.11
6937.95,-6914.6     6937.95,-5702.95
6941.14,-6916.43     6941.14,-5704.78
6942.5,-7447.07     6942.5,-7436.05
7035.01,-7763.06     7035.01,-7516.88
7146.38,-5857.95     7146.38,-5795.49
7181.97,-7353.64     7181.97,-5878.5
7235.47,-7397.47     7235.47,-7658.34
6899.77,-5629.87     7707.99,-5163.24
9872.46,-4188.53     7175.01,-5745.89
8759.65,-8278.37     8759.65,-7344.17
8872.61,-8234.26     8872.61,-7407.01
8942.61,-8193.84     8942.61,-7446.12
9022.16,-7492.05     9022.16,-8151.59
6945.91,-7733.66     7025.46,-7779.59
6945.91,-7722.64     7025.46,-7768.57
7235.47,-7658.34     11295.7,-10002.46
11391.16,-10020.82     11314.79,-9976.73
7025.46,-7500.35     6949.09,-7456.26
11391.16,-10009.8     11314.79,-9965.71
9714.24,-7909.99     9714.24,-8843.25
6949.09,-7426.86     7181.97,-7292.41
7246.61,-7391.04     7235.47,-7397.47
6942.73,-7639.97     7035.01,-7586.69
6952.27,-7645.48     7035.01,-7597.72
7043.73,-7778.17     7243.38,-7662.91
9707.88,-8846.92     8778.74,-8310.5
7181.97,-7353.64     8759.65,-8264.57
9740.74,-8830.99     11500.93,-9847.22
11537.53,-9840.79     11556.62,-9851.81
9714.24,-8720.17     8872.61,-8234.26
9714.24,-8639.33     8942.61,-8193.84
9714.24,-8551.15     9022.16,-8151.59
7181.97,-7055.48     6909.86,-6898.38
8875.66,-7277.69     8765.88,-7341.07
8766.01,-7340.49     9695.15,-7876.92
11537.53,-8393.13     7146.38,-5857.95
7146.38,-5823.05     6899.77,-5680.94
11295.7,-9976.73     11295.7,-10222.91
11305.24,-9982.25     11305.24,-10222.49
11537.53,-9848.14     11537.53,-8393.13
11537.53,-8341.38     11537.53,-8393.13
11556.62,-8308.62     11556.62,-9851.81
8942.61,-8193.84     8778.74,-8288.45
9181.26,-8059.73     9022.16,-8151.59
9819.25,-7823.64     9726.97,-7876.92
9822.43,-7829.16     9730.15,-7882.43
9822.16,-8783.99     9709.99,-8848.75
7707.99,-5163.24     7946.09,-5300.71
14401.3,-8462.97     14436.3,-8483.18
11550.59,-8290.06     14251.74,-6730.55
14261.29,-6747.09     11556.62,-8308.62
11537.53,-8393.13     11556.62,-8382.11
14485.73,-8460.02     14495.28,-8465.53
14477.66,-8227.82     14401.3,-8183.73
14280.38,-6883.03     14261.29,-6894.06
9872.46,-4188.53     14271.99,-6728.55
14261.29,-8275.58     14261.29,-6747.09
14280.38,-6883.03     14280.38,-6747.09
14391.75,-8306.81     14391.75,-8446.44
14484.25,-8248.02     14484.25,-8237
14499.94,-8503.32     14499.94,-8475.83
14261.29,-8255.43     14387.8,-8182.39
14477.66,-8246.19     14340.84,-8325.18
14340.84,-8325.18     11422.98,-10009.8
14477.66,-8257.21     11422.98,-10020.82
14474.48,-8461.13     11419.79,-10224.75
14490.51,-8462.77     11429.34,-10230.26
11429.57,-10275.99     14499.94,-8503.32
11391.16,-10009.8     11422.98,-10009.8
11391.16,-10020.82     11422.98,-10020.82
7025.46,-7500.35     7035.01,-7516.88
6949.09,-7426.86     6942.5,-7436.05
6942.5,-7447.07     6949.09,-7456.26
7146.38,-5795.49     7175.01,-5745.89
14271.99,-6728.55     14280.38,-6747.09
8759.65,-7344.17     8766.01,-7340.49
9695.15,-7876.92     9726.97,-7876.92
9730.15,-7882.43     9714.24,-7909.99
9707.88,-8846.92     9714.24,-8843.25
8778.74,-8288.45     8759.65,-8278.37
8778.74,-8288.45     8778.74,-8306.82
6936.36,-7673.04     6952.27,-7645.48
6926.82,-7667.53     6942.73,-7639.97
6936.36,-7706.11     6945.91,-7722.64
6926.82,-7700.59     6945.91,-7733.66
11305.24,-9982.25     11314.79,-9976.73
11295.7,-9976.73     11314.79,-9965.71
11313.44,-10231.89     11411.77,-10273.49
11419.79,-10224.75     11419.77,-10270.49
11410.82,-10283.38     11309.97,-10241.4
11305.24,-10222.49     11313.44,-10231.89
11295.7,-10222.91     11309.97,-10241.4
11411.77,-10273.49     11419.77,-10270.49
11410.82,-10283.38     11429.57,-10275.99
11429.34,-10230.26     11429.57,-10275.99
14495.28,-8465.53     14499.94,-8475.83
14485.73,-8460.02     14474.48,-8461.13
14391.75,-8446.44     14401.3,-8462.97
14387.8,-8182.39     14401.3,-8183.73
14477.66,-8227.82     14484.25,-8237
14484.25,-8237     14477.66,-8246.19
14484.25,-8248.02     14477.66,-8257.21
11500.93,-9847.22     11537.53,-9848.14
14251.74,-6730.55     14271.99,-6728.55
8778.74,-8310.5     8778.74,-8306.82
7025.46,-7768.57     7035.01,-7763.06
7043.73,-7778.17     7025.46,-7779.59
14261.29,-8275.58     11556.62,-9851.81
11537.53,-8341.38     11550.59,-8290.06
