3034.83,-6514.06     6155.7,-7668.59
6409.83,-7642.06     10330.27,-5197.66
6909.07,-3869.79     2998.37,-6317.5
3509.83,-6442.06     6258.06,-7476.33
9819.27,-5135.6     7071.07,-4078.91
7085.23,-4840.07     8453.14,-5349.46
6175.74,-5311.55     7744.78,-5896.92
5785,-5546.21     7360.15,-6133.86
6600.56,-5050.52     8168.92,-5635.64
5323.35,-5855.34     6873.49,-6433.66
4909.92,-6199.43     6303.77,-6718.48
6969.75,-2313.09     9932.04,-3403.93
3777.29,-4124.48     6609.48,-2373.13
6609.48,-2373.13     6969.75,-2313.09
3577.14,-4514.78     3777.29,-4124.48
3577.14,-4514.78     3587.12,-5949
3777.29,-4124.48     3787.99,-5823.27
6609.48,-2373.13     6605.52,-4059.78
6969.75,-2313.09     6970.81,-3863.29
9932.04,-3403.93     9920.3,-4935.25
10112.18,-3604.08     10106.83,-5009.15
7163.62,-3843     10319.39,-5093.37
9932.04,-3403.93     10112.18,-3604.08
10319.39,-5093.37     10330.27,-5197.66
6909.07,-3869.79     7163.62,-3843
6968.99,-4089.19     7071.07,-4078.91
2998.37,-6317.5     3034.83,-6514.06
3467.41,-6264.03     3509.83,-6442.06
6258.06,-7476.33     6359.38,-7465.74
6155.7,-7668.59     6409.83,-7642.06
9819.27,-5135.6     9836.33,-5304.72
9921.33,-5452.63     6533.98,-4104.56
6807.63,-7394.03     3351.71,-6096.34
7480.92,-4491.02     4295.74,-6450.82
9036.74,-5100.59     5894.99,-7036.44
7622.9,-4643.57     4677.07,-6458.26
3467.41,-6264.03     6968.99,-4089.19
6359.38,-7465.74     9836.33,-5304.72
9451.88,-5265.8     6310.87,-7200.56
7055.51,-4312.12     3853.26,-6284.67
7849.05,-4735.91     4903.23,-6550.6
8382.35,-4953.64     5436.53,-6768.33
8107.51,-4841.43     5161.68,-6656.12
8648.1,-5062.14     5702.28,-6876.83
8919.81,-5173.08     7395.28,-4550.64
5973.99,-6987.77     4443.09,-6362.73
