60	0	140	0
140	0	140	-50
140	-50	60	-50
60	-50	60	0
140	-10	120	-10
120	-10	120	0
140	-12	201	-12
80	-40	60	-40
80	-40	80	-50
130	0	130	-10
70	-40	70	-50
60	-60	140	-60
140	-60	140	-110
140	-110	60	-110
60	-110	60	-60
140	-70	120	-70
120	-70	120	-60
80	-100	60	-100
80	-100	80	-110
130	-60	130	-70
70	-100	70	-110
60	-110	0	-110
0	-95	0	-110
0	-95	60	-50
60	-120	140	-120
140	-120	140	-170
140	-170	60	-170
60	-170	60	-120
140	-130	120	-130
120	-130	120	-120
80	-160	60	-160
80	-160	80	-170
130	-120	130	-130
70	-160	70	-170
60	-170	0	-170
0	-155	0	-170
0	-155	60	-110
