4265.91,-4239.05     4868.91,-4621.55
4868.91,-4621.55     5446.41,-6063.05
4265.91,-4239.05     9080.91,-3108.05
9080.91,-3108.05     9824.91,-3373.55
9824.91,-3373.55     10235.91,-4161.05
10235.91,-4161.05     10082.91,-4221.05
10082.91,-4221.05     10219.41,-4345.55
10219.41,-4345.55     9496.41,-7081.55
5276.91,-4713.05     5903.91,-5866.55
5903.91,-5866.55     10082.91,-4221.05
4868.91,-4621.55     9606.05,-3295.45
5276.91,-4713.05     9824.91,-3373.55
5446.41,-6063.05     5653.4,-5965.19
5653.4,-5965.19     5903.91,-5866.55
5774.37,-5915.87     5155.41,-4804.55
5155.41,-4804.55     5276.91,-4713.05
5446.41,-6063.05     5674.41,-6247.55
5674.41,-6247.55     10219.41,-4345.55
5674.41,-6247.55     5674.41,-9555.05
5674.41,-9555.05     5131.41,-9012.05
4673.91,-9282.05     5317.41,-8869.55
5317.41,-8869.55     5319.41,-6645.05
5317.41,-6636.05     4472.91,-6957.05
3848.91,-8337.05     4673.91,-9282.05
3848.91,-8337.05     3583.41,-6118.55
3583.41,-6118.55     4472.91,-6957.05
4472.91,-6957.05     4673.91,-9282.05
5317.41,-6636.05     4355.91,-5773.55
4355.91,-5773.55     3583.41,-6118.55
4265.91,-4239.05     4352.41,-5775.05
5674.41,-9555.05     5789.91,-9280.55
5789.91,-9280.55     5674.41,-9555.05
9496.41,-7081.55     9377.91,-6981.05
9377.91,-6981.05     9247.41,-7081.55
9247.41,-7081.55     9023.91,-6888.05
9677.64,-6395.73     5674.41,-8912.77
5789.91,-9280.55     5674.41,-9158.64
5674.41,-8166.68     9845.91,-5748.05
5674.41,-8291.17     9820.01,-5856.98
5677.41,-8497.55     9744.98,-6140.91
5677.41,-8603.3     9720.88,-6232.11
10235.91,-4161.05     10007.91,-4161.05
10007.91,-4161.05     9715.83,-3580.3
9715.83,-3580.3     5470.41,-4840.55
5470.41,-4840.55     5935.41,-5715.05
5935.41,-5715.05     5903.91,-5866.55
5935.41,-5715.05     10007.91,-4161.05
9715.83,-3580.3     9824.91,-3373.55
5470.41,-4840.55     5276.91,-4713.05
