5970.85,-6396.83     5970.85,-4092.75
6802.88,-6617.15     10683.11,-5873.24
6561.83,-3047.96     6407.54,-2978.88
6206.72,-6518.65     6206.72,-3108.99
6123.78,-6503.1     6123.78,-3799.64
6802.88,-6617.15     6802.88,-4222.14
6561.83,-3047.96     10364.85,-2286.07
10364.85,-2286.07     10203.59,-2221.11
10203.59,-2221.11     6349.28,-2965.02
6816.36,-3291.26     10211.36,-2648.79
6717.35,-3613.02     10530.18,-2871.71
6206.72,-6518.65     6551.46,-6611.96
10683.11,-5873.24     10683.11,-4088.8
8705.41,-4683.51     8705.41,-6251.67
6802.88,-5051.99     10626.64,-4315.66
6802.88,-5118.23     10619.85,-4381.15
6802.88,-5274.49     10602.06,-4543
6802.88,-5557.15     10559.25,-4832.95
6807.88,-5875.97     10561.65,-5145.24
6803.44,-6192.15     10567.85,-5456.38
6802.88,-6471.99     10591.58,-5738.06
7443.85,-5185.15     7443.85,-6327.15
8062.85,-5089.15     8062.85,-6191.15
9340.45,-4820.89     9340.45,-5940.63
9934.02,-4704.25     9934.02,-5831.77
8731.33,-4680.92     8731.33,-6246.49
10619.85,-4381.15     10683.11,-4404.02
10626.64,-4315.66     10683.11,-4337.76
10602.06,-4543     10683.11,-4574.45
10559.25,-4832.95     10683.11,-4872.17
10561.65,-5145.24     10688.11,-5181.72
10567.85,-5456.38     10683.11,-5487.53
10591.58,-5738.06     10683.66,-5772.36
6206.72,-3108.99     6349.28,-2965.02
5970.85,-6396.83     6123.78,-6503.1
6123.78,-6503.1     6206.72,-6518.65
6551.46,-6611.96     6802.88,-6617.15
6561.83,-3047.96     6704.94,-3312.35
6704.94,-3312.35     6717.35,-3613.02
6717.35,-3613.02     6802.88,-4222.14
6349.28,-2965.02     6407.54,-2978.88
10364.85,-2286.07     10530.18,-2871.71
10530.18,-2871.71     10654.87,-4326.71
10683.11,-4088.8     10651.85,-2836.15
10651.85,-2836.15     10508.01,-2345.46
10364.85,-2286.07     10427.85,-2286.48
10427.85,-2286.48     10508.01,-2345.46
10131.77,-2332.77     10279.56,-2920.43
6123.78,-3799.64     6206.72,-3714.35
5970.85,-4092.75     6086.85,-3765.15
6086.85,-3765.15     6206.72,-3654.01
6671.81,-3025.93     6816.36,-3291.26
6816.36,-3291.26     6842.95,-3588.6
6802.88,-5274.49     6365.85,-5201.15
6802.88,-5557.15     6357.85,-5484.67
6807.88,-5875.97     6358.85,-5801.54
6802.37,-6191.62     6357.33,-6119.14
6802.37,-6471.38     6357.33,-6398.91
