4887.82,-3630.97     5316.42,-3058.51
4961.57,-4445.53     4887.86,-3631.36
5482.44,-3010.82     5597.67,-4262.22
5316.42,-3058.51     8493.18,-2145.9
4233.59,-4750.85     6611.95,-7039.93
5676.21,-5230.52     5762.04,-5324.53
5676.21,-5230.52     5759.1,-5033.02
5759.1,-5033.02     5964.54,-4801.89
6835.53,-7053.24     6835.53,-7053.24
6742.82,-6273.17     6889.02,-6336.42
6078.17,-5426.4     6312.52,-5619.85
6312.52,-5619.85     6522.35,-5819.64
6522.35,-5819.64     6708.17,-6012.54
6010.68,-5495.26     6606.64,-6068.58
6606.64,-6068.58     6742.82,-6273.17
6606.64,-6068.58     6606.64,-6068.58
6708.17,-6012.54     6836.03,-6191.89
6836.03,-6191.89     6888.13,-6336.18
7130.63,-6378.92     7080.76,-6167.34
5846.65,-4469.56     5869.7,-4461.72
5897.23,-4452.69     5869.7,-4461.73
4263.56,-4645.48     9442.19,-3157.77
9286.52,-5921.02     9835.48,-5775.27
7869.3,-6403.76     7969.02,-6378.6
9972.38,-5797.57     10091.73,-5768.85
7969.02,-6378.6     9972.38,-5797.57
9835.48,-5775.27     10244.65,-5688.14
7693.92,-6420.66     7869.3,-6403.76
7154.55,-6020.45     8004.95,-6110.35
6642.77,-5915.21     7154.55,-6020.45
5826.13,-5263.03     6078.17,-5426.4
5762.04,-5324.53     6010.68,-5495.26
8063.73,-6535.13     8114.39,-6583.87
6450.52,-5366.63     6922.76,-5882.34
6922.76,-5882.34     7080.76,-6167.34
7284.08,-5429.59     7308.13,-5301.93
7308.13,-5301.93     7510.01,-4848.37
7510.01,-4848.37     7830.17,-4406.14
8141.53,-4175.21     8141.53,-4175.21
8102.73,-4305.94     8488.62,-4132.91
8628.58,-5907.45     9133.59,-5792.02
8097.95,-6027.42     8628.58,-5907.45
9133.59,-5792.02     9604.63,-5691.98
9604.63,-5691.98     10045.86,-5612.2
8246.33,-5717.22     8868.66,-5619.61
10045.86,-5612.2     10442.95,-5552.49
8868.66,-5619.61     9475.34,-5534.23
9475.34,-5534.23     10041.49,-5470.51
10041.49,-5470.51     10536.34,-5426.93
7452.9,-5731.05     8203.82,-5749.79
6524.15,-5371.92     7455.84,-5439.89
6877.19,-5674.09     7452.9,-5731.05
5702.15,-5168.72     6216.99,-5245.72
5681.7,-5238.2     6524.15,-5371.92
6280.97,-5567.08     6877.19,-5674.09
8096.74,-5409.65     8093.68,-5376.5
8096.23,-5324.21     8100.12,-5366.48
8100.33,-5273.36     8104.07,-5314.05
8205.44,-5404.7     8202.3,-5370.62
8206.8,-5318.11     8210.69,-5360.44
8210.87,-5268.44     8214.51,-5307.95
7803.37,-5758.83     7802.29,-5670.94
8109.3,-5410.3     8121,-5271.29
8005.95,-5410.35     8021.13,-5276
8023.64,-5261.36     8043.01,-5148.54
8043.01,-5148.54     8139.48,-4821.55
7680.1,-6231.95     7803.37,-5758.83
8139.48,-4821.55     8304.72,-4448.16
8304.72,-4448.16     8544.05,-4037.89
8199.95,-4901.35     8111.25,-4918.53
7455.79,-5038.24     8101.82,-4949.21
6844.69,-5084.62     7455.79,-5038.24
8326.12,-5413.3     8933.74,-5368.27
8221.57,-5369.15     8317.99,-5363.16
8933.74,-5368.27     9531.98,-5334.06
8146.68,-5373.41     8212.26,-5369.7
8008.86,-5328.64     8105.72,-5323.34
8114.87,-5322.83     8181.38,-5319.15
8181.38,-5319.15     8216.29,-5317.24
8225.42,-5316.75     8250.06,-5315.42
8250.06,-5315.42     8323.02,-5311.58
8111.09,-5375.28     8146.68,-5373.41
8077.55,-5376.94     8101.8,-5375.75
8004.33,-5380.2     8077.55,-5376.94
7387.4,-5303.34     8121,-5271.29
9531.98,-5334.06     10094.52,-5312.95
8121,-5271.29     9220.61,-5236.47
10094.52,-5312.95     10598.57,-5301.26
9220.61,-5236.47     9909.95,-5231.79
7455.84,-5439.89     8326.12,-5413.3
6273.88,-5084.8     6844.69,-5084.62
9909.95,-5231.79     10623.62,-5238.29
6784.48,-5292.63     7387.4,-5303.34
5752.52,-5044.67     6273.88,-5084.8
6216.99,-5245.72     6784.48,-5292.63
8309.28,-5312.3     8312.67,-5349.18
8314.35,-5265.16     8317.37,-5297.96
8555.07,-5253.42     8533.46,-4893.49
8329.56,-5413.04     8344.21,-5264.22
8220.13,-5406.23     8229.54,-5267.85
8533.46,-4893.49     8566.44,-4606.34
8185.09,-5869.81     8329.56,-5413.04
8566.44,-4606.34     8644.56,-4318.86
8644.56,-4318.86     8757.11,-4040.84
7869.3,-6403.76     8185.09,-5869.81
7565.49,-6416.82     7680.1,-6231.95
7691.15,-4715.15     8218.77,-4587.16
6405.94,-4762.61     7061.61,-4631.42
7183.86,-4818.97     7691.15,-4715.15
6710.27,-4888.79     7183.86,-4818.97
5985.56,-4796.56     6405.94,-4762.61
8199.95,-4901.35     10024.32,-4965.22
8298.53,-4462.16     9678.18,-4626.77
8904.71,-4958.59     8886.68,-4358.76
8886.68,-4358.76     8977.86,-4047.03
8854.08,-5740.84     9074.81,-5240.1
8523.95,-6122.35     8854.08,-5740.84
7061.61,-4631.42     8102.73,-4305.94
8430.9,-4048.73     8537.82,-4033.21
8229.59,-3781.02     8230.81,-3781.55
10249.38,-5123.66     10463.59,-5227.64
10430.28,-5078.87     10430.27,-5078.87
10024.32,-4965.22     10249.38,-5123.66
8904.71,-4958.59     9002.72,-5241.68
9191.93,-4322.46     9164.94,-4070.24
9315.29,-5895.52     9892.77,-5231.91
7904.52,-6344.2     8222.63,-6232.04
7644.63,-6666.68     10471.33,-5773.75
8222.63,-6232.04     8732.58,-6079.48
6820.82,-7056.8     11940.95,-5588.35
8732.58,-6079.48     9286.52,-5921.02
5897.23,-4452.69     8521.95,-3716.35
9504.35,-4138.82     9551.92,-4162.95
9551.92,-4162.95     9588.47,-4196.32
9809.35,-4768.5     10024.32,-4965.22
9608.18,-4551.14     9809.35,-4768.5
9464.57,-4322.91     9608.18,-4551.14
9403.65,-4113.09     9464.57,-4322.91
9692.03,-3183.87     12016.76,-5426.03
10617.14,-5187.35     10629.73,-5222.95
11054.69,-4491.2     10964.68,-3513.67
8538.32,-2141.9     9680.28,-2270.87
9681.4,-2272.46     10957.45,-3499.56
5123.46,-5119.71     5123.47,-5119.94
8882.62,-3698.38     8882.11,-3698.36
10565.58,-5383.8     10566.08,-5382.9
8841.47,-4038.27     8842.42,-4038.33
10098.28,-3932.13     9921.43,-3982.93
8540.17,-2145.9     8652.4,-3364.63
9681.4,-2272.46     9700.28,-2477.43
9700.28,-2477.43     9772.45,-3261.24
8493.18,-2145.9     8538.32,-2141.9
10957.45,-3499.56     10964.68,-3513.67
12016.76,-5426.03     12043.11,-5471.87
11940.95,-5588.35     12043.11,-5471.87
9442.19,-3157.77     9692.03,-3183.87
4263.56,-4645.48     4237.95,-4711.09
4233.59,-4750.85     4237.95,-4711.09
6611.95,-7039.93     6820.82,-7056.8
8229.59,-3781.02     8009.55,-3569.34
5897.23,-4452.69     5677.35,-4239.33
8521.95,-3716.35     9152.95,-3685.35
9152.95,-3685.35     9591.95,-3729.35
9591.95,-3729.35     9921.43,-3982.93
10096.97,-3932.51     10383.03,-3850.33
9921.43,-3982.93     11162.95,-5123.35
11024.87,-4996.52     11448.15,-4877.62
11162.95,-5123.35     11073.95,-5459.35
11073.95,-5459.35     10471.33,-5773.75
7644.63,-6666.68     7089.95,-6667.35
7089.95,-6667.35     6662.95,-6553.35
6662.95,-6553.35     5370.7,-5413.84
5846.65,-4469.56     5338.95,-4698.35
5123.46,-5119.71     5370.7,-5413.84
5123.46,-5119.71     5139.95,-4988.35
5139.95,-4988.35     5338.95,-4698.35
8141.53,-4175.21     6187.95,-4692.35
6187.95,-4692.35     5964.54,-4801.89
8141.53,-4175.21     8430.9,-4048.73
8537.82,-4033.21     8915.95,-4039.35
8915.95,-4039.35     9302.95,-4087.35
9302.95,-4087.35     9504.35,-4138.82
9588.47,-4196.32     9790.22,-4528.72
9790.22,-4528.72     10430.27,-5078.87
10430.28,-5078.87     10617.14,-5187.35
10629.73,-5222.95     10566.08,-5382.9
10565.58,-5383.8     10470.95,-5523.35
10470.95,-5523.35     10379.96,-5616.73
10379.96,-5616.73     10091.73,-5768.85
6889.02,-6336.42     7171.55,-6386.12
7465.39,-6413.82     7693.92,-6420.66
7465.39,-6413.82     7171.55,-6386.12
8063.73,-6535.13     8196.02,-6662.39
10529.11,-5993.27     10344.38,-5813.85
5287.03,-5314.3     4925.48,-5416.77
5991.28,-6442.56     6402.65,-6323.82
6710.27,-4888.79     6310.95,-4921.35
6310.95,-4921.35     5875.34,-4902.25
7231.8,-5421.83     7359.01,-5780.32
7359.01,-5780.32     7392.01,-6197.32
7392.01,-6197.32     7318.47,-6399.97
7773.47,-5436.81     7802.29,-5670.94
9191.93,-4322.46     9261.43,-4537.41
9261.43,-4537.41     9518.57,-4997.02
6210.61,-5322.15     6534.99,-4741.56
9518.57,-4997.02     9650.9,-5233.55
